名前,説明,作成日,メンバー数合計,投稿されたメッセージ数,投稿したメンバー数,表示したメンバー数,投稿したメンバー数の変化
agile-dojo,,2019/08/19,39,1,1,23,0
ai-dojo,AI関連についてコンテンツ配信やディスカスするchannel。,2019/11/19,75,7,4,48,-20
aiwg-cloudnativeインテグレーション,CloudNativeインテグレーションチームのチャンネルです,2020/08/17,9,11,4,8,0
aiwg-general,AI人材育成ワークショップ全体連絡用チャンネルです,2020/08/18,35,13,8,30,60
aiwg-management,情通AI人材育成ワークショップの運営チャンネルです,2020/08/17,6,8,3,6,0
aiwg-pjtony,AI人材育成WSチームPJTONYのチャンネルです,2020/08/17,9,7,4,9,0
aiwg-raspi持ってうろうろする人々,RasPi持ってうろうろする人チームのチャンネルです,2020/08/17,10,55,5,10,0
aiwg-savagishi,AI人材育成WSのSAVAGISHIチームのチャンネルです,2020/08/17,11,16,4,9,0
aiwg-チームドリル,AI人材育成WS、チームドリルのチャンネルです,2020/08/17,9,16,3,9,50
aiwg-営業第3部,AI人材育成WSの営業第3部チームのチャンネルです,2020/08/17,7,21,4,6,33
aiwg-戌年2層モデル,"戌年2層モデル(1982,1994)チームのチャンネルです",2020/08/17,10,100,7,8,40
aiwg-鮑,AI人材育成WS、鮑チームのチャンネルです,2020/08/17,8,27,7,8,250
announcement,"Slackを利用しているCTC-G全従業員が参加するチャンネルです。情報システム部からSlackに関するアナウンスの場として活用予定です。
※デフォルト参加で退出不可・読み取り専用となっております
※Slackを利用していない（CTCテナントのワークスペースに参加していない）ユーザーにはアナウンスは届きません",2019/12/18,3696,0,0,87,0
container-dojo,,2019/10/30,45,5,2,21,0
corona-appli-planning,コロナアプリ検討用チャンネルです,2020/09/04,9,60,5,9,0
cto-dojo,"大久保CTOとITについて語り合うチャンネル
　- CTOメッセージの配信（UMU経由）
　- CTOに向けた質疑のとりまとめ※CTOとの直channel対応は検討中",2019/07/24,97,7,3,43,0
db-dojo,DB系な情報をゆるーい感じで交換してワイガヤするチャンネル,2019/11/28,14,0,0,0,0
deep_racer,,2019/09/13,8,0,0,1,0
developers-dojo,,2019/08/19,60,19,6,43,20
dojo-news,社内イントラC-WE掲載など、お知らせ配信的なものはこちらに発信してください。事務局で希望配信先に掲載します。,2019/09/19,134,2,1,8,0
dojo-supporters,dojoを盛り上げてくれる人を募集中です！( ´∀｀ ),2020/02/05,10,0,0,2,0
drone-lovers,ドローン好き・興味がある人たちの情報交換チャンネル,2020/09/18,9,39,5,8,0
fintech-dojo,,2020/02/19,38,3,2,26,100
general,このチャンネルはワークスペース全体のコミュニケーションと社内アナウンス用です。全メンバーがこのチャンネルに参加しています。,2019/05/09,356,17,8,168,-11
iot-amateur-dojo,初心者あつまれ！なにしたいか一緒に話しましょう!!,2019/11/21,28,0,0,8,0
iot-dojo,"（dojo-master： 有馬　正行）IoTを実際にやってみてワイガヤするdojo
*お約束*
・会社研修ではないです。皆が運営です。
・分からなくても恥ずかしくない。気軽に聞きましょう。
・分かる範囲で気軽に答える。マサカリ禁止。
・積極的にリアクションしましょう（Slack）",2019/07/24,87,5,2,49,-71
it-infrastructure-dojo,（dojo-master： 中川　裕路）従来型ITインフラと新しいITインフラ、新旧取り混ぜ情報交換。相談、質問受け付けます。インフラよりちょっと上の話もあります。また内容によっては他のDojoを紹介します。,2019/08/19,68,5,4,45,33
marketing-dojo,marketingについて学ぶ場所。意見を発信しあう場所。,2019/10/02,46,0,0,14,-100
mikamix-dojo,,2019/08/19,11,0,0,1,0
quantum-dojo,量子コンピュータでワイガヤするdojo（dojo主：小松　勇斗）,2019/08/27,34,24,5,21,66
random,仕事に関係ないペチャクチャ、ワイワイ、ざわざわといったチャンネルは、仕事に関係したチャンネルとは別にしておいたほうがいいです。,2019/05/09,353,78,15,170,-6
slack-promotion,Slack社と連携してCTC社内のSlack利用を促進するためのチャンネルです,2020/08/21,14,4,2,7,0
slack_emm_users,,2020/04/17,9,0,0,3,0
suggestionbox-planning,目安箱企画のチャンネルです,2020/09/04,10,60,7,10,0
topics-news,dojo関連の気になる記事を共有する,2019/05/13,352,99,19,144,26
udemy-classroom,Udemy for Business 受講者相互の情報交換の場,2020/08/25,28,9,2,24,-50
uiux-dojo,,2019/08/19,16,0,0,0,0
それほどとんがってない日常,先端技術開発部からゆるーい情報発信,2020/03/31,45,1,1,32,0
何でも質問箱,何でも匿名で質問できるチャンネルです（テスト中）,2020/10/01,1,2,0,1,0
