日付,メンバー数合計,通常メンバー,ゲスト,日間アクティブメンバー数,メッセージを投稿したメンバー数の推移(日別),週間アクティブメンバー数,メッセージを投稿したメンバー数の推移(週別),パブリックチャンネルのメッセージ,プライベートチャンネルのメッセージ,共有チャンネルへの投稿メッセージ数,ダイレクトメッセージでの投稿メッセージ数,メッセージの割合、パブリックチャンネル,メッセージの割合、プライベートチャンネル,メッセージの割合、DM,表示回数の割合、パブリックチャンネル,表示回数の割合、プライベートチャンネル,表示回数の割合、DM,アップロードファイル数,メンバーにより投稿されたメッセージ数,名前,パブリックチャンネル、1つのワークスペース,投稿されたメッセージ数,アプリが投稿したメッセージ数
2020-09-06,347,346,1,12,1,142,44,0,0,0,1,0,0,1,0.8824,0,0.1176,0,1,0,39,1,0
2020-09-07,347,346,1,103,17,152,47,14,0,6,14,0.5,0,0.5,0.881,0,0.119,4,28,0,39,37,1
2020-09-08,346,345,1,99,16,154,46,13,0,5,21,0.3824,0,0.6176,0.9006,0,0.0994,11,34,0,38,46,0
2020-09-09,346,345,1,76,14,148,47,13,0,7,11,0.5417,0,0.4583,0.8193,0,0.1807,2,24,0,38,30,0
2020-09-10,346,345,1,86,17,148,48,58,0,0,10,0.8529,0,0.1471,0.8705,0,0.1295,31,68,0,38,96,0
2020-09-11,346,345,1,66,18,145,43,66,0,1,10,0.8684,0,0.1316,0.8979,0,0.1021,28,76,0,38,99,0
2020-09-12,346,345,1,13,1,146,43,1,0,0,0,1,0,0,1,0,0,0,1,0,38,2,0
2020-09-13,346,345,1,22,1,148,43,0,0,0,1,0,0,1,0.9667,0,0.0333,0,1,0,38,1,0
2020-09-14,346,345,1,95,20,137,45,29,0,3,18,0.617,0,0.383,0.924,0,0.076,5,47,0,38,55,1
2020-09-15,346,345,1,83,6,134,40,5,0,11,24,0.1724,0,0.8276,0.8456,0,0.1544,6,29,0,38,40,0
2020-09-16,346,345,1,88,13,138,38,25,0,5,33,0.431,0,0.569,0.8874,0,0.1126,4,58,0,38,68,0
2020-09-17,346,345,1,112,18,146,36,26,0,13,21,0.5532,0,0.4468,0.9454,0,0.0546,3,47,0,38,49,0
2020-09-18,348,347,1,89,22,152,42,56,0,2,15,0.7887,0,0.2113,0.8437,0.002,0.1543,4,71,0,39,118,0
2020-09-19,348,347,1,15,1,152,42,2,0,0,0,1,0,0,0.9394,0,0.0606,0,2,0,39,2,0
2020-09-20,348,347,1,22,1,152,42,2,0,0,1,0.6667,0,0.3333,0.9811,0,0.0189,2,3,0,39,4,0
2020-09-21,348,347,1,14,2,150,38,0,0,0,4,0,0,1,0.9259,0,0.0741,0,4,0,39,5,1
2020-09-22,348,347,1,17,2,144,37,1,0,0,2,0.3333,0,0.6667,0.9118,0,0.0882,0,3,0,39,3,0
2020-09-23,348,347,1,77,13,146,36,51,0,0,32,0.6145,0,0.3855,0.8868,0,0.1132,2,83,0,39,86,0
2020-09-24,348,347,1,76,13,126,36,13,0,1,11,0.5417,0,0.4583,0.866,0,0.134,4,24,0,39,26,0
2020-09-25,348,347,1,95,12,130,27,20,0,4,7,0.7407,0,0.2593,0.9286,0,0.0714,9,27,0,39,32,0
2020-09-26,348,347,1,13,3,130,27,0,0,1,8,0,0,1,0.5,0,0.5,0,8,0,39,8,0
2020-09-27,348,347,1,16,1,130,27,0,0,0,1,0,0,1,0.8684,0,0.1316,0,1,0,39,1,0
2020-09-28,348,347,1,75,20,141,35,31,0,4,42,0.4247,0,0.5753,0.7329,0,0.2671,6,73,0,39,81,1
2020-09-29,350,349,1,72,15,148,39,25,0,4,34,0.4237,0,0.5763,0.8034,0,0.1966,9,59,0,39,71,0
2020-09-30,350,349,1,83,19,148,45,45,0,4,24,0.6522,0,0.3478,0.8858,0,0.1142,5,69,0,39,73,0
2020-10-01,351,350,1,90,25,149,48,64,0,8,19,0.7711,0,0.2289,0.9266,0,0.0734,3,83,0,40,88,0
2020-10-02,353,352,1,84,17,135,49,44,0,28,36,0.55,0,0.45,0.842,0,0.158,8,80,0,40,86,0
2020-10-03,353,352,1,15,1,134,49,1,0,0,1,0.5,0,0.5,0.9091,0,0.0909,1,2,0,40,3,0
